"Country","Country Code","Year","Rate"
"Namibia","NA","2007",52.593
"Nigeria","NG","2007",49.373
"Nepal","NP","2007",66.26
"Pakistan","PK","2007",64.42
"Papua New Guinea","PG","2007",61.141
"Syrian Arab Republic","SY","2007",74.152
"Uganda","UG","2007",53.887
"Zimbabwe","ZW","2007",44.947
"Afghanistan","AF","2008",59.93
"Bangladesh","BD","2008",69.072
"Bhutan","BT","2008",67.325
"China","CN","2008",73.835
"Cameroon","CM","2008",54.153
"India","IN","2008",65.794
"Kenya","KE","2008",58.76
"Cambodia","KH","2008",65.394
"Kuwait","KW","2008",73.976
"Lebanon","LB","2008",77.911
"Libya","LY","2008",72.174
"Madagascar","MG","2008",62.509
"Namibia","NA","2008",53.817
"Nigeria","NG","2008",49.913
"Nepal","NP","2008",66.727
"Pakistan","PK","2008",64.685
"Papua New Guinea","PG","2008",61.442
"Syrian Arab Republic","SY","2008",73.647
"Uganda","UG","2008",54.984
"Zimbabwe","ZW","2008",46.504
"Afghanistan","AF","2009",60.484
"Bangladesh","BD","2009",69.485
"Bhutan","BT","2009",67.882
"China","CN","2009",74.119
"Cameroon","CM","2009",54.627
"India","IN","2009",66.244
"Kenya","KE","2009",59.932
"Cambodia","KH","2009",66.014
"Kuwait","KW","2009",74.162
"Lebanon","LB","2009",78.161
"Libya","LY","2009",72.129
"Madagascar","MG","2009",62.944
"Namibia","NA","2009",55.207
"Nigeria","NG","2009",50.422
"Nepal","NP","2009",67.178
"Pakistan","PK","2009",64.969
"Papua New Guinea","PG","2009",61.739
"Syrian Arab Republic","SY","2009",72.938
"Uganda","UG","2009",56.06
"Zimbabwe","ZW","2009",48.449
"Afghanistan","AF","2010",61.028
"Bangladesh","BD","2010",69.881
"Bhutan","BT","2010",68.384
"China","CN","2010",74.409
"Cameroon","CM","2010",55.101
"India","IN","2010",66.693
"Kenya","KE","2010",60.959
"Cambodia","KH","2010",66.56
"Kuwait","KW","2010",74.358
"Lebanon","LB","2010",78.36
"Libya","LY","2010",72.044
"Madagascar","MG","2010",63.388
"Namibia","NA","2010",56.665
"Nigeria","NG","2010",50.896
"Nepal","NP","2010",67.611
"Pakistan","PK","2010",65.264
"Papua New Guinea","PG","2010",62.029
"Syrian Arab Republic","SY","2010",72.108
"Uganda","UG","2010",57.099
"Zimbabwe","ZW","2010",50.64
"Afghanistan","AF","2011",61.553
"Bangladesh","BD","2011",70.256
"Bhutan","BT","2011",68.84
"China","CN","2011",74.708
"Cameroon","CM","2011",55.581
"India","IN","2011",67.13
"Kenya","KE","2011",61.851
"Cambodia","KH","2011",67.043
"Kuwait","KW","2011",74.55
"Lebanon","LB","2011",78.507
"Libya","LY","2011",71.956
"Madagascar","MG","2011",63.836
"Namibia","NA","2011",58.085
"Nigeria","NG","2011",51.346
"Nepal","NP","2011",68.028
"Pakistan","PK","2011",65.562
"Papua New Guinea","PG","2011",62.316
"Syrian Arab Republic","SY","2011",71.27
"Uganda","UG","2011",58.087
"Zimbabwe","ZW","2011",52.896
"Afghanistan","AF","2012",62.054
"Bangladesh","BD","2012",70.606
"Bhutan","BT","2012",69.263
"China","CN","2012",75.013
"Cameroon","CM","2012",56.073
"India","IN","2012",67.545
"Kenya","KE","2012",62.659
"Cambodia","KH","2012",67.48
"Kuwait","KW","2012",74.728
"Lebanon","LB","2012",78.611
"Libya","LY","2012",71.901
"Madagascar","MG","2012",64.28
"Namibia","NA","2012",59.387
"Nigeria","NG","2012",51.786
"Nepal","NP","2012",68.426
"Pakistan","PK","2012",65.849
"Papua New Guinea","PG","2012",62.604
"Syrian Arab Republic","SY","2012",70.55
"Uganda","UG","2012",59.017
"Zimbabwe","ZW","2012",55.032
"Afghanistan","AF","2013",62.525
"Bangladesh","BD","2013",70.93
"Bhutan","BT","2013",69.662
"China","CN","2013",75.321
"Cameroon","CM","2013",56.576
"India","IN","2013",67.931
"Kenya","KE","2013",63.419
"Cambodia","KH","2013",67.888
"Kuwait","KW","2013",74.885
"Lebanon","LB","2013",78.683
"Libya","LY","2013",71.907
"Madagascar","MG","2013",64.713
"Namibia","NA","2013",60.513
"Nigeria","NG","2013",52.228
"Nepal","NP","2013",68.806
"Pakistan","PK","2013",66.117
"Papua New Guinea","PG","2013",62.892
"Syrian Arab Republic","SY","2013",70.049
"Uganda","UG","2013",59.881
"Zimbabwe","ZW","2013",56.897
"Afghanistan","AF","2014",62.966
"Bangladesh","BD","2014",71.231
"Bhutan","BT","2014",70.046
"China","CN","2014",75.629
"Cameroon","CM","2014",57.083
"India","IN","2014",68.286
"Kenya","KE","2014",64.135
"Cambodia","KH","2014",68.273
"Kuwait","KW","2014",75.019
"Lebanon","LB","2014",78.732
"Libya","LY","2014",71.981
"Madagascar","MG","2014",65.133
"Namibia","NA","2014",61.425
"Nigeria","NG","2014",52.672
"Nepal","NP","2014",69.168
"Pakistan","PK","2014",66.36
"Papua New Guinea","PG","2014",63.181
"Syrian Arab Republic","SY","2014",69.821
"Uganda","UG","2014",60.669
"Zimbabwe","ZW","2014",58.41
