"Country","Country Code","Year","Rate"
"Ireland","IE","1996",4.1
"Israel","IL","1996",4.2
"Italy","IT","1996",4.5
"Japan","JP","1996",2.1
"Netherlands","NL","1996",3.7
"Norway","NO","1996",2.9
"New Zealand","NZ","1996",3.5
"Singapore","SG","1996",2.1
"Slovak Republic","SK","1996",6.6
"Sweden","SE","1996",2.6
"United States","US","1996",4.9
"Australia","AU","1997",3.6
"Belgium","BE","1997",3.5
"Canada","CA","1997",3.9
"Switzerland","CH","1997",3.4
"Germany","DE","1997",2.9
"Denmark","DK","1997",3.8
"Finland","FI","1997",2.8
"France","FR","1997",3
"United Kingdom","GB","1997",3.9
"Ireland","IE","1997",4.1
"Israel","IL","1997",4
"Italy","IT","1997",4.2
"Japan","JP","1997",2
"Netherlands","NL","1997",3.7
"Norway","NO","1997",2.8
"New Zealand","NZ","1997",3.5
"Singapore","SG","1997",2
"Slovak Republic","SK","1997",6
"Sweden","SE","1997",2.4
"United States","US","1997",4.8
"Australia","AU","1998",3.6
"Belgium","BE","1998",3.3
"Canada","CA","1998",3.8
"Switzerland","CH","1998",3.4
"Germany","DE","1998",2.9
"Denmark","DK","1998",3.7
"Finland","FI","1998",2.7
"France","FR","1998",2.9
"United Kingdom","GB","1998",3.9
"Ireland","IE","1998",4.1
"Israel","IL","1998",3.8
"Italy","IT","1998",3.9
"Japan","JP","1998",1.9
"Netherlands","NL","1998",3.7
"Norway","NO","1998",2.8
"New Zealand","NZ","1998",3.5
"Singapore","SG","1998",1.9
"Slovak Republic","SK","1998",5.6
"Sweden","SE","1998",2.4
"United States","US","1998",4.7
"Australia","AU","1999",3.6
"Belgium","BE","1999",3.1
"Canada","CA","1999",3.7
"Switzerland","CH","1999",3.5
"Germany","DE","1999",2.8
"Denmark","DK","1999",3.6
"Finland","FI","1999",2.6
"France","FR","1999",2.8
"United Kingdom","GB","1999",3.8
"Ireland","IE","1999",4.1
"Israel","IL","1999",3.7
"Italy","IT","1999",3.7
"Japan","JP","1999",1.8
"Netherlands","NL","1999",3.8
"Norway","NO","1999",2.7
"New Zealand","NZ","1999",3.5
"Singapore","SG","1999",1.8
"Slovak Republic","SK","1999",5.3
"Sweden","SE","1999",2.3
"United States","US","1999",4.7
"Australia","AU","2000",3.5
"Belgium","BE","2000",2.9
"Canada","CA","2000",3.7
"Switzerland","CH","2000",3.5
"Germany","DE","2000",2.8
"Denmark","DK","2000",3.5
"Finland","FI","2000",2.5
"France","FR","2000",2.7
"United Kingdom","GB","2000",3.8
"Ireland","IE","2000",4
"Israel","IL","2000",3.6
"Italy","IT","2000",3.5
"Japan","JP","2000",1.8
"Netherlands","NL","2000",3.8
"Norway","NO","2000",2.7
"New Zealand","NZ","2000",3.5
"Singapore","SG","2000",1.6
"Slovak Republic","SK","2000",5.1
"Sweden","SE","2000",2.3
"United States","US","2000",4.6
"Australia","AU","2001",3.5
"Belgium","BE","2001",2.8
"Canada","CA","2001",3.8
"Switzerland","CH","2001",3.5
"Germany","DE","2001",2.7
"Denmark","DK","2001",3.4
"Finland","FI","2001",2.4
"France","FR","2001",2.7
"United Kingdom","GB","2001",3.7
"Ireland","IE","2001",3.9
"Israel","IL","2001",3.5
"Italy","IT","2001",3.3
"Japan","JP","2001",1.7
"Netherlands","NL","2001",3.8
"Norway","NO","2001",2.6
"New Zealand","NZ","2001",3.5
"Singapore","SG","2001",1.5
"Slovak Republic","SK","2001",4.8
"Sweden","SE","2001",2.3
"United States","US","2001",4.6
"Australia","AU","2002",3.4
"Belgium","BE","2002",2.8
"Canada","CA","2002",3.8
"Switzerland","CH","2002",3.4
"Germany","DE","2002",2.7
"Denmark","DK","2002",3.2
"Finland","FI","2002",2.3
"France","FR","2002",2.7
"United Kingdom","GB","2002",3.6
"Ireland","IE","2002",3.7
"Israel","IL","2002",3.3
"Italy","IT","2002",3.1
"Japan","JP","2002",1.7
"Netherlands","NL","2002",3.7
"Norway","NO","2002",2.5
"New Zealand","NZ","2002",3.5
"Singapore","SG","2002",1.4
"Slovak Republic","SK","2002",4.6
"Sweden","SE","2002",2.2
"United States","US","2002",4.6
"Australia","AU","2003",3.4
"Belgium","BE","2003",2.7
"Canada","CA","2003",3.9
"Switzerland","CH","2003",3.4
"Germany","DE","2003",2.7
"Denmark","DK","2003",3.2
"Finland","FI","2003",2.2
"France","FR","2003",2.6
"United Kingdom","GB","2003",3.6
"Ireland","IE","2003",3.5
"Israel","IL","2003",3.2
"Italy","IT","2003",2.9
"Japan","JP","2003",1.6
"Netherlands","NL","2003",3.6
"Norway","NO","2003",2.4
"New Zealand","NZ","2003",3.4
"Singapore","SG","2003",1.3
"Slovak Republic","SK","2003",4.3
"Sweden","SE","2003",2.2
"United States","US","2003",4.6
"Australia","AU","2004",3.3
"Belgium","BE","2004",2.7
"Canada","CA","2004",3.9
"Switzerland","CH","2004",3.3
"Germany","DE","2004",2.6
"Denmark","DK","2004",3.1
"Finland","FI","2004",2.2
"France","FR","2004",2.5
"United Kingdom","GB","2004",3.5
"Ireland","IE","2004",3.3
"Israel","IL","2004",2.9
"Italy","IT","2004",2.8
"Japan","JP","2004",1.5
"Netherlands","NL","2004",3.5
"Norway","NO","2004",2.3
"New Zealand","NZ","2004",3.3
"Singapore","SG","2004",1.3
"Slovak Republic","SK","2004",4
"Sweden","SE","2004",2
"United States","US","2004",4.6
"Australia","AU","2005",3.2
"Belgium","BE","2005",2.6
"Canada","CA","2005",3.9
"Switzerland","CH","2005",3.3
"Germany","DE","2005",2.6
"Denmark","DK","2005",3.1
"Finland","FI","2005",2.1
"France","FR","2005",2.4
"United Kingdom","GB","2005",3.5
"Ireland","IE","2005",3
"Israel","IL","2005",2.7
"Italy","IT","2005",2.7
"Japan","JP","2005",1.4
"Netherlands","NL","2005",3.4
"Norway","NO","2005",2.3
"New Zealand","NZ","2005",3.1
"Singapore","SG","2005",1.3
"Slovak Republic","SK","2005",3.8
"Sweden","SE","2005",1.9
"United States","US","2005",4.5
"Australia","AU","2006",3.1
"Belgium","BE","2006",2.6
"Canada","CA","2006",3.8
"Switzerland","CH","2006",3.3
"Germany","DE","2006",2.6
"Denmark","DK","2006",3
"Finland","FI","2006",2
"France","FR","2006",2.4
"United Kingdom","GB","2006",3.4
"Ireland","IE","2006",2.8
"Israel","IL","2006",2.6
"Italy","IT","2006",2.6
"Japan","JP","2006",1.3
"Netherlands","NL","2006",3.3
"Norway","NO","2006",2.2
"New Zealand","NZ","2006",3
"Singapore","SG","2006",1.2
"Slovak Republic","SK","2006",3.6
"Sweden","SE","2006",1.8
"United States","US","2006",4.4
"Australia","AU","2007",3
"Belgium","BE","2007",2.5
"Canada","CA","2007",3.8
"Switzerland","CH","2007",3.2
"Germany","DE","2007",2.5
"Denmark","DK","2007",2.9
"Finland","FI","2007",2
"France","FR","2007",2.3
"United Kingdom","GB","2007",3.3
"Ireland","IE","2007",2.6
"Israel","IL","2007",2.5
"Italy","IT","2007",2.6
"Japan","JP","2007",1.3
"Netherlands","NL","2007",3.1
"Norway","NO","2007",2.1
"New Zealand","NZ","2007",2.9
"Singapore","SG","2007",1.2
"Slovak Republic","SK","2007",3.5
"Sweden","SE","2007",1.8
"United States","US","2007",4.3
"Australia","AU","2008",2.9
"Belgium","BE","2008",2.5
"Canada","CA","2008",3.8
"Switzerland","CH","2008",3.2
"Germany","DE","2008",2.4
"Denmark","DK","2008",2.8
"Finland","FI","2008",1.9
"France","FR","2008",2.3
"United Kingdom","GB","2008",3.2
"Ireland","IE","2008",2.5
"Israel","IL","2008",2.4
"Italy","IT","2008",2.5
"Japan","JP","2008",1.2
"Netherlands","NL","2008",3
"Norway","NO","2008",2
"New Zealand","NZ","2008",3
"Singapore","SG","2008",1.2
"Slovak Republic","SK","2008",3.4
"Sweden","SE","2008",1.7
"United States","US","2008",4.2
"Australia","AU","2009",2.8
"Belgium","BE","2009",2.4
"Canada","CA","2009",3.8
"Switzerland","CH","2009",3.2
"Germany","DE","2009",2.4
"Denmark","DK","2009",2.8
"Finland","FI","2009",1.8
"France","FR","2009",2.3
"United Kingdom","GB","2009",3.1
"Ireland","IE","2009",2.5
"Israel","IL","2009",2.4
"Italy","IT","2009",2.4
"Japan","JP","2009",1.2
"Netherlands","NL","2009",2.9
"Norway","NO","2009",1.9
"New Zealand","NZ","2009",3.1
"Singapore","SG","2009",1.1
"Slovak Republic","SK","2009",3.4
"Sweden","SE","2009",1.7
"United States","US","2009",4.2
"Australia","AU","2010",2.7
"Belgium","BE","2010",2.3
"Canada","CA","2010",3.7
"Switzerland","CH","2010",3.1
"Germany","DE","2010",2.3
"Denmark","DK","2010",2.9
"Finland","FI","2010",1.7
"France","FR","2010",2.3
"United Kingdom","GB","2010",3
"Ireland","IE","2010",2.5
"Israel","IL","2010",2.4
"Italy","IT","2010",2.4
"Japan","JP","2010",1.1
"Netherlands","NL","2010",2.8
"Norway","NO","2010",1.9
"New Zealand","NZ","2010",3.2
"Singapore","SG","2010",1.1
"Slovak Republic","SK","2010",3.4
"Sweden","SE","2010",1.6
"United States","US","2010",4.1
"Australia","AU","2011",2.6
"Belgium","BE","2011",2.3
"Canada","CA","2011",3.7
"Switzerland","CH","2011",3.1
"Germany","DE","2011",2.3
"Denmark","DK","2011",3
"Finland","FI","2011",1.6
"France","FR","2011",2.2
"United Kingdom","GB","2011",3
"Ireland","IE","2011",2.5
"Israel","IL","2011",2.3
"Italy","IT","2011",2.4
"Japan","JP","2011",1
"Netherlands","NL","2011",2.7
"Norway","NO","2011",1.8
"New Zealand","NZ","2011",3.3
"Singapore","SG","2011",1.1
"Slovak Republic","SK","2011",3.3
"Sweden","SE","2011",1.6
"United States","US","2011",4.1
"Australia","AU","2012",2.5
"Belgium","BE","2012",2.3
"Canada","CA","2012",3.7
"Switzerland","CH","2012",3.1
"Germany","DE","2012",2.3
"Denmark","DK","2012",3.1
"Finland","FI","2012",1.5
"France","FR","2012",2.2
"United Kingdom","GB","2012",2.9
"Ireland","IE","2012",2.5
"Israel","IL","2012",2.3
"Italy","IT","2012",2.3
"Japan","JP","2012",1
"Netherlands","NL","2012",2.7
"Norway","NO","2012",1.7
"New Zealand","NZ","2012",3.3
"Singapore","SG","2012",1.1
"Slovak Republic","SK","2012",3.3
"Sweden","SE","2012",1.6
"United States","US","2012",4
"Australia","AU","2013",2.4
"Belgium","BE","2013",2.3
"Canada","CA","2013",3.6
"Switzerland","CH","2013",3
"Germany","DE","2013",2.3
"Denmark","DK","2013",3.2
"Finland","FI","2013",1.4
"France","FR","2013",2.3
"United Kingdom","GB","2013",2.8
"Ireland","IE","2013",2.5
"Israel","IL","2013",2.2
"Italy","IT","2013",2.2
"Japan","JP","2013",1
"Netherlands","NL","2013",2.7
"Norway","NO","2013",1.7
"New Zealand","NZ","2013",3.3
"Singapore","SG","2013",1
"Slovak Republic","SK","2013",3.2
"Sweden","SE","2013",1.6
"United States","US","2013",4
"Australia","AU","2014",2.4
"Belgium","BE","2014",2.2
"Canada","CA","2014",3.6
"Switzerland","CH","2014",3
"Germany","DE","2014",2.3
"Denmark","DK","2014",3.2
"Finland","FI","2014",1.4
"France","FR","2014",2.4
"United Kingdom","GB","2014",2.7
"Ireland","IE","2014",2.5
"Israel","IL","2014",2.1
"Italy","IT","2014",2.2
"Japan","JP","2014",0.9
"Netherlands","NL","2014",2.6
"Norway","NO","2014",1.6
"New Zealand","NZ","2014",3.2
"Singapore","SG","2014",1
"Slovak Republic","SK","2014",3.1
"Sweden","SE","2014",1.6
"United States","US","2014",4
