"Country","Country Code","Year","Rate"
"Slovak Republic","SK","1995",72.25365854
"Sweden","SE","1995",78.7404878
"United States","US","1995",75.62195122
"Australia","AU","1996",78.07804878
"Belgium","BE","1996",77.18731707
"Canada","CA","1996",78.1804878
"Switzerland","CH","1996",78.89609756
"Germany","DE","1996",76.67317073
"Denmark","DK","1996",75.59146341
"Finland","FI","1996",76.69341463
"France","FR","1996",77.95365854
"United Kingdom","GB","1996",77.08780488
"Ireland","IE","1996",75.83170732
"Israel","IL","1996",78.10487805
"Italy","IT","1996",78.52195122
"Japan","JP","1996",80.2002439
"Netherlands","NL","1996",77.43560976
"Norway","NO","1996",78.1504878
"New Zealand","NZ","1996",76.78780488
"Singapore","SG","1996",76.59512195
"Slovak Republic","SK","1996",72.65365854
"Sweden","SE","1996",78.95902439
"United States","US","1996",76.02682927
"Australia","AU","1997",78.4804878
"Belgium","BE","1997",77.37073171
"Canada","CA","1997",78.43170732
"Switzerland","CH","1997",79.0795122
"Germany","DE","1997",77.07317073
"Denmark","DK","1997",75.94512195
"Finland","FI","1997",76.87853659
"France","FR","1997",78.30487805
"United Kingdom","GB","1997",77.21097561
"Ireland","IE","1997",75.98536585
"Israel","IL","1997",78
"Italy","IT","1997",78.82439024
"Japan","JP","1997",80.42414634
"Netherlands","NL","1997",77.79439024
"Norway","NO","1997",78.14268293
"New Zealand","NZ","1997",77.33414634
"Singapore","SG","1997",76.89756098
"Slovak Republic","SK","1997",72.70487805
"Sweden","SE","1997",79.19756098
"United States","US","1997",76.42926829
"Australia","AU","1998",78.63170732
"Belgium","BE","1998",77.47317073
"Canada","CA","1998",78.63414634
"Switzerland","CH","1998",79.32439024
"Germany","DE","1998",77.47560976
"Denmark","DK","1998",76.13902439
"Finland","FI","1998",77.09073171
"France","FR","1998",78.60487805
"United Kingdom","GB","1998",77.1902439
"Ireland","IE","1998",76.1804878
"Israel","IL","1998",78.14878049
"Italy","IT","1998",78.97560976
"Japan","JP","1998",80.50146341
"Netherlands","NL","1998",77.88292683
"Norway","NO","1998",78.32926829
"New Zealand","NZ","1998",78.08536585
"Singapore","SG","1998",77.3
"Slovak Republic","SK","1998",72.55121951
"Sweden","SE","1998",79.33902439
"United States","US","1998",76.5804878
"Australia","AU","1999",78.93170732
"Belgium","BE","1999",77.6195122
"Canada","CA","1999",78.88536585
"Switzerland","CH","1999",79.5804878
"Germany","DE","1999",77.72682927
"Denmark","DK","1999",76.34146341
"Finland","FI","1999",77.29121951
"France","FR","1999",78.75609756
"United Kingdom","GB","1999",77.3902439
"Ireland","IE","1999",76.08292683
"Israel","IL","1999",78.65853659
"Italy","IT","1999",79.42439024
"Japan","JP","1999",80.57073171
"Netherlands","NL","1999",77.83658537
"Norway","NO","1999",78.28292683
"New Zealand","NZ","1999",77.8902439
"Singapore","SG","1999",77.55121951
"Slovak Republic","SK","1999",72.90243902
"Sweden","SE","1999",79.44146341
"United States","US","1999",76.58292683
"Australia","AU","2000",79.23414634
"Belgium","BE","2000",77.72195122
"Canada","CA","2000",79.13658537
"Switzerland","CH","2000",79.6804878
"Germany","DE","2000",77.92682927
"Denmark","DK","2000",76.59268293
"Finland","FI","2000",77.46585366
"France","FR","2000",79.05609756
"United Kingdom","GB","2000",77.74146341
"Ireland","IE","2000",76.53658537
"Israel","IL","2000",78.95365854
"Italy","IT","2000",79.77804878
"Japan","JP","2000",81.07609756
"Netherlands","NL","2000",77.98780488
"Norway","NO","2000",78.63414634
"New Zealand","NZ","2000",78.63658537
"Singapore","SG","2000",77.95121951
"Slovak Republic","SK","2000",73.05121951
"Sweden","SE","2000",79.64390244
"United States","US","2000",76.63658537
"Australia","AU","2001",79.63414634
"Belgium","BE","2001",77.97317073
"Canada","CA","2001",79.33902439
"Switzerland","CH","2001",80.1804878
"Germany","DE","2001",78.32926829
"Denmark","DK","2001",76.79268293
"Finland","FI","2001",77.96585366
"France","FR","2001",79.15853659
"United Kingdom","GB","2001",77.99268293
"Ireland","IE","2001",77.13414634
"Israel","IL","2001",79.40731707
"Italy","IT","2001",80.12682927
"Japan","JP","2001",81.41707317
"Netherlands","NL","2001",78.1902439
"Norway","NO","2001",78.78536585
"New Zealand","NZ","2001",78.69268293
"Singapore","SG","2001",78.25121951
"Slovak Republic","SK","2001",73.40243902
"Sweden","SE","2001",79.79512195
"United States","US","2001",76.83658537
"Australia","AU","2002",79.93658537
"Belgium","BE","2002",78.07560976
"Canada","CA","2002",79.4902439
"Switzerland","CH","2002",80.38536585
"Germany","DE","2002",78.22926829
"Denmark","DK","2002",76.89512195
"Finland","FI","2002",78.1195122
"France","FR","2002",79.26097561
"United Kingdom","GB","2002",78.14390244
"Ireland","IE","2002",77.63414634
"Israel","IL","2002",79.45121951
"Italy","IT","2002",80.22926829
"Japan","JP","2002",81.56341463
"Netherlands","NL","2002",78.29268293
"Norway","NO","2002",78.98780488
"New Zealand","NZ","2002",78.84634146
"Singapore","SG","2002",78.55121951
"Slovak Republic","SK","2002",73.60487805
"Sweden","SE","2002",79.84634146
"United States","US","2002",76.93658537
"Australia","AU","2003",80.23902439
"Belgium","BE","2003",78.12926829
"Canada","CA","2003",79.74146341
"Switzerland","CH","2003",80.53658537
"Germany","DE","2003",78.3804878
"Denmark","DK","2003",77.14390244
"Finland","FI","2003",78.36829268
"France","FR","2003",79.11463415
"United Kingdom","GB","2003",78.44634146
"Ireland","IE","2003",78.13902439
"Israel","IL","2003",79.64878049
"Italy","IT","2003",79.98292683
"Japan","JP","2003",81.76
"Netherlands","NL","2003",78.49268293
"Norway","NO","2003",79.3902439
"New Zealand","NZ","2003",79.14634146
"Singapore","SG","2003",79.03902439
"Slovak Republic","SK","2003",73.60487805
"Sweden","SE","2003",80.09512195
"United States","US","2003",77.03658537
"Australia","AU","2004",80.4902439
"Belgium","BE","2004",78.87804878
"Canada","CA","2004",79.89268293
"Switzerland","CH","2004",81.08780488
"Germany","DE","2004",78.6804878
"Denmark","DK","2004",77.49268293
"Finland","FI","2004",78.71463415
"France","FR","2004",80.16341463
"United Kingdom","GB","2004",78.74634146
"Ireland","IE","2004",78.53902439
"Israel","IL","2004",80.14634146
"Italy","IT","2004",80.7804878
"Japan","JP","2004",82.0302439
"Netherlands","NL","2004",79.09512195
"Norway","NO","2004",79.84146341
"New Zealand","NZ","2004",79.54878049
"Singapore","SG","2004",79.4902439
"Slovak Republic","SK","2004",73.95853659
"Sweden","SE","2004",80.49756098
"United States","US","2004",77.48780488
"Australia","AU","2005",80.84146341
"Belgium","BE","2005",78.9804878
"Canada","CA","2005",80.19268293
"Switzerland","CH","2005",81.23658537
"Germany","DE","2005",78.93170732
"Denmark","DK","2005",77.84390244
"Finland","FI","2005",78.81707317
"France","FR","2005",80.16341463
"United Kingdom","GB","2005",79.04878049
"Ireland","IE","2005",78.94390244
"Israel","IL","2005",80.15121951
"Italy","IT","2005",80.78292683
"Japan","JP","2005",81.92512195
"Netherlands","NL","2005",79.34634146
"Norway","NO","2005",80.04146341
"New Zealand","NZ","2005",79.85121951
"Singapore","SG","2005",79.9902439
"Slovak Republic","SK","2005",73.90487805
"Sweden","SE","2005",80.54634146
"United States","US","2005",77.48780488
"Australia","AU","2006",81.04146341
"Belgium","BE","2006",79.3804878
"Canada","CA","2006",80.34390244
"Switzerland","CH","2006",81.4902439
"Germany","DE","2006",79.13170732
"Denmark","DK","2006",78.09512195
"Finland","FI","2006",79.21463415
"France","FR","2006",80.81219512
"United Kingdom","GB","2006",79.24878049
"Ireland","IE","2006",79.24146341
"Israel","IL","2006",80.55365854
"Italy","IT","2006",81.28292683
"Japan","JP","2006",82.32195122
"Netherlands","NL","2006",79.69756098
"Norway","NO","2006",80.34390244
"New Zealand","NZ","2006",80.04878049
"Singapore","SG","2006",80.14146341
"Slovak Republic","SK","2006",74.20487805
"Sweden","SE","2006",80.74878049
"United States","US","2006",77.68780488
"Australia","AU","2007",81.29268293
"Belgium","BE","2007",79.78292683
"Canada","CA","2007",80.54390244
"Switzerland","CH","2007",81.74146341
"Germany","DE","2007",79.53414634
"Denmark","DK","2007",78.19512195
"Finland","FI","2007",79.26341463
"France","FR","2007",81.11219512
"United Kingdom","GB","2007",79.44878049
"Ireland","IE","2007",79.64146341
"Israel","IL","2007",80.50487805
"Italy","IT","2007",81.43414634
"Japan","JP","2007",82.50707317
"Netherlands","NL","2007",80.09756098
"Norway","NO","2007",80.39512195
"New Zealand","NZ","2007",80.15121951
"Singapore","SG","2007",80.44146341
"Slovak Republic","SK","2007",74.20731707
"Sweden","SE","2007",80.9
"United States","US","2007",77.98780488
"Australia","AU","2008",81.39512195
"Belgium","BE","2008",79.6804878
"Canada","CA","2008",80.69512195
"Switzerland","CH","2008",81.99268293
"Germany","DE","2008",79.73658537
"Denmark","DK","2008",78.44634146
"Finland","FI","2008",79.56829268
"France","FR","2008",81.21463415
"United Kingdom","GB","2008",79.6
"Ireland","IE","2008",80.09512195
"Israel","IL","2008",80.95121951
"Italy","IT","2008",81.48536585
"Japan","JP","2008",82.58756098
"Netherlands","NL","2008",80.25121951
"Norway","NO","2008",80.59268293
"New Zealand","NZ","2008",80.35121951
"Singapore","SG","2008",80.7902439
"Slovak Republic","SK","2008",74.70487805
"Sweden","SE","2008",81.1
"United States","US","2008",78.03902439
"Australia","AU","2009",81.54390244
"Belgium","BE","2009",80.03414634
"Canada","CA","2009",80.99512195
"Switzerland","CH","2009",82.04390244
"Germany","DE","2009",79.83658537
"Denmark","DK","2009",78.59756098
"Finland","FI","2009",79.7195122
"France","FR","2009",81.41463415
"United Kingdom","GB","2009",80.05121951
"Ireland","IE","2009",80.1902439
"Israel","IL","2009",81.40487805
"Italy","IT","2009",81.63658537
"Japan","JP","2009",82.93146341
"Netherlands","NL","2009",80.54878049
"Norway","NO","2009",80.79512195
"New Zealand","NZ","2009",80.70243902
"Singapore","SG","2009",81.24146341
"Slovak Republic","SK","2009",74.9097561
"Sweden","SE","2009",81.35121951
"United States","US","2009",78.3902439
"Australia","AU","2010",81.69512195
"Belgium","BE","2010",80.18292683
"Canada","CA","2010",81.24634146
"Switzerland","CH","2010",82.24634146
"Germany","DE","2010",79.98780488
"Denmark","DK","2010",79.1
"Finland","FI","2010",79.87073171
"France","FR","2010",81.66341463
"United Kingdom","GB","2010",80.40243902
"Ireland","IE","2010",80.74390244
"Israel","IL","2010",81.60243902
"Italy","IT","2010",82.03658537
"Japan","JP","2010",82.84268293
"Netherlands","NL","2010",80.70243902
"Norway","NO","2010",80.99756098
"New Zealand","NZ","2010",80.70243902
"Singapore","SG","2010",81.54146341
"Slovak Republic","SK","2010",75.11219512
"Sweden","SE","2010",81.45121951
"United States","US","2010",78.54146341
"Australia","AU","2011",81.89512195
"Belgium","BE","2011",80.58536585
"Canada","CA","2011",81.44878049
"Switzerland","CH","2011",82.69512195
"Germany","DE","2011",80.43658537
"Denmark","DK","2011",79.8
"Finland","FI","2011",80.47073171
"France","FR","2011",82.11463415
"United Kingdom","GB","2011",80.95121951
"Ireland","IE","2011",80.74634146
"Israel","IL","2011",81.65609756
"Italy","IT","2011",82.18780488
"Japan","JP","2011",82.59121951
"Netherlands","NL","2011",81.20487805
"Norway","NO","2011",81.29512195
"New Zealand","NZ","2011",80.90487805
"Singapore","SG","2011",81.74390244
"Slovak Republic","SK","2011",75.95853659
"Sweden","SE","2011",81.80243902
"United States","US","2011",78.64146341
"Australia","AU","2012",82.04634146
"Belgium","BE","2012",80.38536585
"Canada","CA","2012",81.64878049
"Switzerland","CH","2012",82.69756098
"Germany","DE","2012",80.53902439
"Denmark","DK","2012",80.05121951
"Finland","FI","2012",80.62682927
"France","FR","2012",81.96829268
"United Kingdom","GB","2012",80.90487805
"Ireland","IE","2012",80.84634146
"Israel","IL","2012",81.70487805
"Italy","IT","2012",82.23902439
"Japan","JP","2012",83.09609756
"Netherlands","NL","2012",81.10487805
"Norway","NO","2012",81.45121951
"New Zealand","NZ","2012",81.15609756
"Singapore","SG","2012",81.99512195
"Slovak Republic","SK","2012",76.1097561
"Sweden","SE","2012",81.70487805
"United States","US","2012",78.74146341
"Australia","AU","2013",82.14878049
"Belgium","BE","2013",80.58780488
"Canada","CA","2013",81.74878049
"Switzerland","CH","2013",82.79756098
"Germany","DE","2013",80.4902439
"Denmark","DK","2013",80.3
"Finland","FI","2013",80.97560976
"France","FR","2013",82.2195122
"United Kingdom","GB","2013",81.00487805
"Ireland","IE","2013",80.94878049
"Israel","IL","2013",82.05609756
"Italy","IT","2013",82.6902439
"Japan","JP","2013",83.33195122
"Netherlands","NL","2013",81.30487805
"Norway","NO","2013",81.75121951
"New Zealand","NZ","2013",81.40731707
"Singapore","SG","2013",82.24634146
"Slovak Republic","SK","2013",76.41219512
"Sweden","SE","2013",81.95609756
"United States","US","2013",78.74146341
"Australia","AU","2014",82.3
"Belgium","BE","2014",81.28780488
"Canada","CA","2014",81.8
"Switzerland","CH","2014",83.19756098
"Germany","DE","2014",81.0902439
"Denmark","DK","2014",80.7
"Finland","FI","2014",81.1804878
"France","FR","2014",82.7195122
"United Kingdom","GB","2014",81.30487805
"Ireland","IE","2014",81.34878049
"Israel","IL","2014",82.15365854
"Italy","IT","2014",83.0902439
"Japan","JP","2014",83.58780488
"Netherlands","NL","2014",81.70731707
"Norway","NO","2014",82.1
"New Zealand","NZ","2014",81.40487805
"Singapore","SG","2014",82.49512195
"Slovak Republic","SK","2014",76.81219512
"Sweden","SE","2014",82.25365854
"United States","US","2014",78.84146341
